text,emotion,stress_level,risk
O kadar kötüydü ki bakamadım bile.,iğrenme,düşük,hayır
"Kimse beni anlamıyor, sinir oldum.",öfke,düşük,hayır
Gerçekten böyle olacağını hiç düşünmemiştim.,şaşkınlık,düşük,hayır
Her şey üstüme geliyor gibi.,üzüntü,orta,hayır
"İçim sıkılıyor, her şey boş.",üzüntü,düşük,hayır
"Bugün hava normal, sıradan bir gün.",nötr,orta,hayır
"Yemek yaptım, sonra kitap okudum.",nötr,düşük,hayır
Karanlıktan korkuyorum.,korku,orta,hayır
İğrenç bir davranıştı.,iğrenme,yüksek,hayır
Biri beni takip ediyor gibi hissediyorum.,korku,düşük,hayır
Bugün çok öfkeliyim.,öfke,düşük,hayır
İçimde tarif edemediğim bir korku var.,korku,düşük,hayır
Ne kadar garip bir durum!,şaşkınlık,orta,hayır
Bu durumdan tiksindim.,iğrenme,düşük,hayır
Karanlıktan korkuyorum.,korku,düşük,hayır
İğrenç bir davranıştı.,iğrenme,düşük,hayır
"Bir şey hissetmiyorum, sadece rutin.",nötr,orta,hayır
"Bugün hava normal, sıradan bir gün.",nötr,orta,hayır
Hiçbir şey yapmak istemiyorum.,üzüntü,orta,hayır
Bu kadar haksızlığa dayanamıyorum.,öfke,orta,hayır
İğrenç bir davranıştı.,iğrenme,düşük,hayır
"Kimse beni anlamıyor, sinir oldum.",öfke,düşük,hayır
Her şey yolunda gidiyor.,mutluluk,yüksek,hayır
Karanlıktan korkuyorum.,korku,düşük,hayır
"Artık yeter, daha fazla dayanamayacağım!",öfke,düşük,hayır
Her şey yolunda gidiyor.,mutluluk,düşük,hayır
"Kimse beni anlamıyor, sinir oldum.",öfke,orta,hayır
Bugün gerçekten çok mutluyum.,mutluluk,düşük,hayır
"Artık yeter, daha fazla dayanamayacağım!",öfke,düşük,hayır
Bunu görmek istemiyorum.,iğrenme,düşük,hayır
"Evdeyim, televizyon izliyorum.",nötr,düşük,hayır
"Kimse beni anlamıyor, sinir oldum.",öfke,yüksek,hayır
"Evdeyim, televizyon izliyorum.",nötr,düşük,hayır
Her zamanki gibi işe gittim.,nötr,orta,hayır
Hayatımın en güzel gününü yaşıyorum.,mutluluk,orta,hayır
Gerçekten böyle olacağını hiç düşünmemiştim.,şaşkınlık,düşük,hayır
Arkadaşlarımla çok eğlendim.,mutluluk,orta,hayır
"Bağırmak istiyorum, içimde çok öfke var.",öfke,düşük,hayır
"Bağırmak istiyorum, içimde çok öfke var.",öfke,düşük,hayır
Arkadaşlarımla çok eğlendim.,mutluluk,düşük,hayır
"Bir şey hissetmiyorum, sadece rutin.",nötr,düşük,hayır
"Kalbim çok hızlı atıyor, endişeliyim.",korku,orta,hayır
"Bugün hava normal, sıradan bir gün.",nötr,yüksek,hayır
"Bir şey hissetmiyorum, sadece rutin.",nötr,düşük,hayır
"Kimse beni anlamıyor, sinir oldum.",öfke,düşük,hayır
"Yemek yaptım, sonra kitap okudum.",nötr,düşük,hayır
Ne kadar garip bir durum!,şaşkınlık,düşük,hayır
İğrenç bir davranıştı.,iğrenme,yüksek,hayır
Karanlıktan korkuyorum.,korku,düşük,hayır
Bu durumdan tiksindim.,iğrenme,düşük,hayır
Gerçekten mide bulandırıcı.,iğrenme,düşük,hayır
Bu kadar haksızlığa dayanamıyorum.,öfke,yüksek,hayır
"Evdeyim, televizyon izliyorum.",nötr,orta,hayır
Bunu görmek istemiyorum.,iğrenme,yüksek,hayır
"Bir şey hissetmiyorum, sadece rutin.",nötr,yüksek,hayır
Kendimi çok kötü hissediyorum.,üzüntü,düşük,hayır
İçimde tarif edemediğim bir korku var.,korku,orta,hayır
Her şey yolunda gidiyor.,mutluluk,orta,hayır
"Ne olduğunu anlayamadım, gerçekten şaşırdım.",şaşkınlık,düşük,hayır
Gerçekten böyle olacağını hiç düşünmemiştim.,şaşkınlık,düşük,hayır
Gerçekten mide bulandırıcı.,iğrenme,orta,hayır
"Bir şey hissetmiyorum, sadece rutin.",nötr,orta,hayır
Bunu görmek istemiyorum.,iğrenme,yüksek,hayır
"Yemek yaptım, sonra kitap okudum.",nötr,orta,hayır
"İçim neşe dolu, harika hissediyorum.",mutluluk,yüksek,hayır
"Bağırmak istiyorum, içimde çok öfke var.",öfke,yüksek,hayır
"Artık yeter, daha fazla dayanamayacağım!",öfke,düşük,hayır
"Bağırmak istiyorum, içimde çok öfke var.",öfke,düşük,hayır
"Bugün hava normal, sıradan bir gün.",nötr,orta,hayır
Bugün çok öfkeliyim.,öfke,düşük,hayır
Bunu görmek istemiyorum.,iğrenme,düşük,hayır
İğrenç bir davranıştı.,iğrenme,yüksek,hayır
Bugün çok öfkeliyim.,öfke,düşük,hayır
Gerçekten mide bulandırıcı.,iğrenme,orta,hayır
Hiçbir şey yapmak istemiyorum.,üzüntü,düşük,hayır
Her şey üstüme geliyor gibi.,üzüntü,düşük,hayır
Hiçbir şey yapmak istemiyorum.,üzüntü,düşük,hayır
Hayat anlamsız geliyor.,üzüntü,orta,hayır
Her şey üstüme geliyor gibi.,üzüntü,düşük,hayır
Biri beni takip ediyor gibi hissediyorum.,korku,düşük,hayır
Biri beni takip ediyor gibi hissediyorum.,korku,yüksek,hayır
Bu kadar haksızlığa dayanamıyorum.,öfke,yüksek,hayır
O kadar kötüydü ki bakamadım bile.,iğrenme,orta,hayır
"Evdeyim, televizyon izliyorum.",nötr,düşük,hayır
Biri beni takip ediyor gibi hissediyorum.,korku,orta,hayır
İğrenç bir davranıştı.,iğrenme,düşük,hayır
İçimde tarif edemediğim bir korku var.,korku,düşük,hayır
"Ne olduğunu anlayamadım, gerçekten şaşırdım.",şaşkınlık,düşük,hayır
"Bir şey hissetmiyorum, sadece rutin.",nötr,düşük,hayır
Hayatımın en güzel gününü yaşıyorum.,mutluluk,düşük,hayır
